name,mana_cost,card_type,power,card_text,artist,collection,lowPrice,highPrice,front_image,back_image
Divest,{B},Sorcery,-,Target player reveals their hand. You choose an artifact or creature card from it. That player discards that card.,Jesper Ejsing,Double Masters,0.14,0.14,https://c1.scryfall.com/file/scryfall-cards/png/front/4/4/4494cb6d-1a99-40b6-96cc-0dc2ddec102f.png?1598304621,-
Doomed Necromancer,{2}{B},Creature — Human Cleric Mercenary,2/2,"{B}, {T}, Sacrifice Doomed Necromancer: Return target creature card from your graveyard to the battlefield.",Volkan Baǵa,Double Masters,0.22,0.22,https://c1.scryfall.com/file/scryfall-cards/png/front/a/1/a1a21acd-100a-4a25-932b-f36943728ac9.png?1598304636,-
Dread Return,{2}{B}{B},Sorcery,-,Return target creature card from your graveyard to the battlefield. Flashback—Sacrifice three creatures. (You may cast this card from your graveyard for its flashback cost. Then exile it.),Kev Walker,Double Masters,0.49,0.49,https://c1.scryfall.com/file/scryfall-cards/png/front/9/6/96aa9e00-e73e-4a6e-9607-77533aac4be4.png?1598304655,-
Driver of the Dead,{3}{B},Creature — Vampire,3/2,"When Driver of the Dead dies, return target creature card with mana value 2 or less from your graveyard to the battlefield.",James Ryman,Double Masters,0.03,0.03,https://c1.scryfall.com/file/scryfall-cards/png/front/e/f/ef46f4e7-ec58-4542-94b3-785bc46d26ea.png?1598304676,-
Drown in Sorrow,{1}{B}{B},Sorcery,-,All creatures get -2/-2 until end of turn. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.),Noah Bradley,Double Masters,0.06,0.06,https://c1.scryfall.com/file/scryfall-cards/png/front/f/e/fe1e8a62-5b8c-432a-bb8f-c09048c51e0b.png?1598304687,-
Executioner's Capsule,{B},Artifact,-,"{1}{B}, {T}, Sacrifice Executioner's Capsule: Destroy target nonblack creature.",Warren Mahy,Double Masters,0.11,0.11,https://c1.scryfall.com/file/scryfall-cards/png/front/0/3/032ea333-96e1-4ad8-8947-21d6bc3a9f91.png?1598304701,-
Fatal Push,{B},Instant,-,Destroy target creature if it has mana value 2 or less. Revolt — Destroy that creature if it has mana value 4 or less instead if a permanent you controlled left the battlefield this turn.,Eric Deschamps,Double Masters,2.07,2.07,https://c1.scryfall.com/file/scryfall-cards/png/front/6/e/6e9d8fe4-fd9b-4923-92bf-7dd6b8fa02e7.png?1598304715,-
"Geth, Lord of the Vault",{4}{B}{B},Legendary Creature — Phyrexian Zombie,5/5,Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.) {X}{B}: Put target artifact or creature card with mana value X from an opponent's graveyard onto the battlefield under your control tapped. Then that player mills X cards.,Whit Brachna,Double Masters,0.7,0.7,https://c1.scryfall.com/file/scryfall-cards/png/front/9/2/920d56a4-fc94-43d8-9d65-361b66172a5f.png?1598304744,-
Glaze Fiend,{1}{B},Artifact Creature — Illusion,0/1,"Flying Whenever another artifact enters the battlefield under your control, Glaze Fiend gets +2/+2 until end of turn.",Joshua Hagler,Double Masters,0.07,0.07,https://c1.scryfall.com/file/scryfall-cards/png/front/0/7/07f9a946-f961-4e19-a30a-6e1a95683340.png?1598304774,-
Heartless Pillage,{2}{B},Sorcery,-,"Target opponent discards two cards. Raid — If you attacked this turn, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",Sara Winters,Double Masters,0.02,0.02,https://c1.scryfall.com/file/scryfall-cards/png/front/5/b/5b705cd6-da20-4f0a-bb94-2acd1cecd64c.png?1598304790,-
Magus of the Abyss,{3}{B},Creature — Human Wizard,4/3,"At the beginning of each player's upkeep, destroy target nonartifact creature that player controls of their choice. It can't be regenerated.",Kev Walker,Double Masters,0.22,0.22,https://c1.scryfall.com/file/scryfall-cards/png/front/9/9/9954157a-0c05-4788-8a0f-6093ebbb38c3.png?1598304810,-
Magus of the Will,{2}{B},Creature — Human Wizard,3/3,"{2}{B}, {T}, Exile Magus of the Will: Until end of turn, you may play lands and cast spells from your graveyard. If a card would be put into your graveyard from anywhere this turn, exile that card instead.",Vincent Proce,Double Masters,0.28,0.28,https://c1.scryfall.com/file/scryfall-cards/png/front/2/4/24c41068-59d8-4ef4-aae4-a93b0a9ee19e.png?1598304824,-
Morkrut Banshee,{3}{B}{B},Creature — Spirit,4/4,"Morbid — When Morkrut Banshee enters the battlefield, if a creature died this turn, target creature gets -4/-4 until end of turn.",Svetlin Velinov,Double Masters,0.03,0.03,https://c1.scryfall.com/file/scryfall-cards/png/front/d/e/de6fd09e-55af-41dd-a0c0-ba1064737c90.png?1598304842,-
Oubliette,{1}{B}{B},Enchantment,-,"When Oubliette enters the battlefield, target creature phases out until Oubliette leaves the battlefield. Tap that creature as it phases in this way. (Auras and Equipment phase out with it. While permanents are phased out, they're treated as though they don't exist.)",Jim Pavelec,Double Masters,0.94,0.94,https://c1.scryfall.com/file/scryfall-cards/png/front/d/4/d4800a7d-c229-4ced-97ff-0e58645d58d6.png?1599705817,-
Ovalchase Daredevil,{3}{B},Creature — Human Pilot,4/2,"Whenever an artifact enters the battlefield under your control, you may return Ovalchase Daredevil from your graveyard to your hand.",Winona Nelson,Double Masters,1.23,1.23,https://c1.scryfall.com/file/scryfall-cards/png/front/e/d/ed3ba73e-58aa-417e-bd52-d7f93c80adc6.png?1599705842,-
Painsmith,{1}{B},Creature — Human Artificer,2/1,"Whenever you cast an artifact spell, you may have target creature get +2/+0 and gain deathtouch until end of turn.",Eric Deschamps,Double Masters,0.04,0.04,https://c1.scryfall.com/file/scryfall-cards/png/front/7/9/79301fd4-2f00-4ff5-993f-a6af2440064b.png?1599705863,-
Ravenous Trap,{2}{B}{B},Instant — Trap,-,"If an opponent had three or more cards put into their graveyard from anywhere this turn, you may pay {0} rather than pay this spell's mana cost. Exile all cards from target player's graveyard.",Cyril Van Der Haegen,Double Masters,0.22,0.22,https://c1.scryfall.com/file/scryfall-cards/png/front/c/e/ce0fae06-1a93-43ac-a349-f3719e60076e.png?1599705879,-
Salvage Titan,{4}{B}{B},Artifact Creature — Golem,6/4,You may sacrifice three artifacts rather than pay this spell's mana cost. Exile three artifact cards from your graveyard: Return Salvage Titan from your graveyard to your hand.,Anthony Francisco,Double Masters,0.19,0.19,https://c1.scryfall.com/file/scryfall-cards/png/front/7/1/7175febd-ae8e-4945-91ab-b6c67c40f04b.png?1599705900,-
Silumgar Scavenger,{4}{B},Creature — Zombie Bird,2/3,"Flying Exploit (When this creature enters the battlefield, you may sacrifice a creature.) Whenever another creature you control dies, put a +1/+1 counter on Silumgar Scavenger. It gains haste until end of turn if it exploited that creature.",Greg Staples,Double Masters,0.02,0.02,https://c1.scryfall.com/file/scryfall-cards/png/front/0/4/047fd05e-7545-4148-b3d7-eccf72ae43fb.png?1599705924,-
Skirsdag High Priest,{1}{B},Creature — Human Cleric,1/2,"Morbid — {T}, Tap two untapped creatures you control: Create a 5/5 black Demon creature token with flying. Activate only if a creature died this turn.",Jason A. Engle,Double Masters,0.3,0.3,https://c1.scryfall.com/file/scryfall-cards/png/front/0/1/01dd19e9-23ff-4854-bbce-ce0a00a7b5b4.png?1599705938,-
"Skithiryx, the Blight Dragon",{3}{B}{B},Legendary Creature — Phyrexian Dragon Skeleton,4/4,"Flying Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.) {B}: Skithiryx, the Blight Dragon gains haste until end of turn. {B}{B}: Regenerate Skithiryx.",Chippy,Double Masters,14.4,14.4,https://c1.scryfall.com/file/scryfall-cards/png/front/c/a/cab61c7e-e00a-413b-a0b5-7718b479582f.png?1599705958,-
Supernatural Stamina,{B},Instant,-,"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control.""",Christopher Moeller,Double Masters,0.06,0.06,https://c1.scryfall.com/file/scryfall-cards/png/front/f/0/f0bff1b7-838f-48de-96bd-0c79e59ff827.png?1599705979,-
Thoughtseize,{B},Sorcery,-,Target player reveals their hand. You choose a nonland card from it. That player discards that card. You lose 2 life.,Aleksi Briclot,Double Masters,12.33,12.33,https://c1.scryfall.com/file/scryfall-cards/png/front/b/2/b281a308-ab6b-47b6-bec7-632c9aaecede.png?1599706001,-
Toxic Deluge,{2}{B},Sorcery,-,"As an additional cost to cast this spell, pay X life. All creatures get -X/-X until end of turn.",Svetlin Velinov,Double Masters,21.47,21.47,https://c1.scryfall.com/file/scryfall-cards/png/front/d/0/d00fa18f-d50a-4d3f-929e-91f29141b1df.png?1599706034,-
Twisted Abomination,{5}{B},Creature — Zombie Mutant,5/3,"{B}: Regenerate Twisted Abomination. Swampcycling {2} ({2}, Discard this card: Search your library for a Swamp card, reveal it, put it into your hand, then shuffle.)",Daren Bader,Double Masters,0.02,0.02,https://c1.scryfall.com/file/scryfall-cards/png/front/f/f/ffae38ec-7712-4701-b072-9f962ec9c259.png?1599706072,-
Vampire Hexmage,{B}{B},Creature — Vampire Shaman,2/1,First strike Sacrifice Vampire Hexmage: Remove all counters from target permanent.,Eric Deschamps,Double Masters,0.25,0.25,https://c1.scryfall.com/file/scryfall-cards/png/front/9/7/97ec2e55-fa60-4ee1-b9c0-e6b84939697b.png?1599706094,-
Wound Reflection,{5}{B},Enchantment,-,"At the beginning of each end step, each opponent loses life equal to the life they lost this turn. (Damage causes loss of life.)",Chris Seaman,Double Masters,6.71,6.71,https://c1.scryfall.com/file/scryfall-cards/png/front/2/b/2b14a82c-877a-445f-8910-33aaa6fe3d15.png?1599706125,-
Abrade,{1}{R},Instant,-,Choose one —,Destroy target artifact.,Double Masters,0.4,0.4,https://c1.scryfall.com/file/scryfall-cards/png/front/2/4/24da9431-7e52-44f5-bc18-2f2d8a4ca81e.png?1599706140,-
Balduvian Rage,{X}{R},Instant,-,Target attacking creature gets +X/+0 until end of turn. Draw a card at the beginning of the next turn's upkeep.,John Matson,Double Masters,0.15,0.15,https://c1.scryfall.com/file/scryfall-cards/png/front/8/1/81848391-ed73-498a-a650-4041fb9a46bc.png?1599706162,-
Battle-Rattle Shaman,{3}{R},Creature — Goblin Shaman,2/2,"At the beginning of combat on your turn, you may have target creature get +2/+0 until end of turn.",Warren Mahy,Double Masters,0.01,0.01,https://c1.scryfall.com/file/scryfall-cards/png/front/2/5/25920434-8254-4fbf-8ef1-6d0e2cd8ee39.png?1599706179,-
Blasphemous Act,{8}{R},Sorcery,-,This spell costs {1} less to cast for each creature on the battlefield. Blasphemous Act deals 13 damage to each creature.,Daarken,Double Masters,2.84,2.84,https://c1.scryfall.com/file/scryfall-cards/png/front/f/f/fff02fcd-241e-4a3e-a0d0-5adc90e7d0db.png?1599706202,-
Blood Moon,{2}{R},Enchantment,-,Nonbasic lands are Mountains.,Franz Vohwinkel,Double Masters,17.41,17.41,https://c1.scryfall.com/file/scryfall-cards/png/front/d/0/d072e9ca-aae7-45dc-8025-3ce590bae63f.png?1599706217,-
Bloodshot Trainee,{3}{R},Creature — Goblin Warrior,2/3,{T}: Bloodshot Trainee deals 4 damage to target creature. Activate only if Bloodshot Trainee's power is 4 or greater.,Matt Stewart,Double Masters,0.02,0.02,https://c1.scryfall.com/file/scryfall-cards/png/front/7/7/779a130b-1d23-4a20-9914-dbdc2268ae3b.png?1599706228,-
Brimstone Volley,{2}{R},Instant,-,Brimstone Volley deals 3 damage to any target. Morbid — Brimstone Volley deals 5 damage instead if a creature died this turn.,Eytan Zana,Double Masters,0.09,0.09,https://c1.scryfall.com/file/scryfall-cards/png/front/9/4/94fa0577-f02a-4d24-835b-fef8d849b37a.png?1599706255,-
Cathartic Reunion,{1}{R},Sorcery,-,"As an additional cost to cast this spell, discard two cards. Draw three cards.",Howard Lyon,Double Masters,0.16,0.16,https://c1.scryfall.com/file/scryfall-cards/png/front/b/3/b36fa6f3-29e8-4788-bfcd-59576187c399.png?1599706266,-
Cragganwick Cremator,{2}{R}{R},Creature — Giant Shaman,5/4,"When Cragganwick Cremator enters the battlefield, discard a card at random. If you discard a creature card this way, Cragganwick Cremator deals damage equal to that card's power to target player or planeswalker.",Jeremy Enecio,Double Masters,0.12,0.12,https://c1.scryfall.com/file/scryfall-cards/png/front/4/b/4b13d612-f5d4-4423-99bc-359c47a8aa99.png?1599706278,-
Dismantle,{2}{R},Sorcery,-,"Destroy target artifact. If that artifact had counters on it, put that many +1/+1 counters or charge counters on an artifact you control.",Brian Snõddy,Double Masters,0.04,0.04,https://c1.scryfall.com/file/scryfall-cards/png/front/8/6/86862339-a5a5-45c4-bba5-981cff4f45f5.png?1599706292,-
Dualcaster Mage,{1}{R}{R},Creature — Human Wizard,2/2,"Flash When Dualcaster Mage enters the battlefield, copy target instant or sorcery spell. You may choose new targets for the copy.",Matt Stewart,Double Masters,0.26,0.26,https://c1.scryfall.com/file/scryfall-cards/png/front/e/a/ea4814b8-9aea-4e44-aec1-d585473f5d1c.png?1599706312,-
Galvanic Blast,{R},Instant,-,Galvanic Blast deals 2 damage to any target. Metalcraft — Galvanic Blast deals 4 damage instead if you control three or more artifacts.,Marc Simonetti,Double Masters,0.31,0.31,https://c1.scryfall.com/file/scryfall-cards/png/front/0/c/0cf8cb1e-314a-4894-82df-f9812825f52e.png?1599706326,-
Goblin Gaveleer,{R},Creature — Goblin Warrior,1/1,Trample Goblin Gaveleer gets +2/+0 for each Equipment attached to it.,Svetlin Velinov,Double Masters,0.1,0.1,https://c1.scryfall.com/file/scryfall-cards/png/front/3/f/3f44f3ea-504e-4745-9716-cbe28ed7873d.png?1599706339,-
Goblin Guide,{R},Creature — Goblin Scout,2/2,"Haste Whenever Goblin Guide attacks, defending player reveals the top card of their library. If it's a land card, that player puts it into their hand.",Filip Burburan,Double Masters,4.96,4.96,https://c1.scryfall.com/file/scryfall-cards/png/front/3/c/3c0f5411-1940-410f-96ce-6f92513f753a.png?1599706366,-
"Godo, Bandit Warlord",{5}{R},Legendary Creature — Human Barbarian,3/3,"When Godo, Bandit Warlord enters the battlefield, you may search your library for an Equipment card, put it onto the battlefield, then shuffle. Whenever Godo attacks for the first time each turn, untap it and all Samurai you control. After this phase, there is an additional combat phase.",Paolo Parente,Double Masters,1.92,1.92,https://c1.scryfall.com/file/scryfall-cards/png/front/1/2/123d1368-fbbe-48f8-9b44-d51946529322.png?1599706406,-
Grim Lavamancer,{R},Creature — Human Wizard,1/1,"{R}, {T}, Exile two cards from your graveyard: Grim Lavamancer deals 2 damage to any target.",Michael Sutfin,Double Masters,0.56,0.56,https://c1.scryfall.com/file/scryfall-cards/png/front/e/e/ee2a0d71-15a2-4061-b5f2-434755094aa4.png?1599706437,-
Heat Shimmer,{2}{R},Sorcery,-,"Create a token that's a copy of target creature, except it has haste and ""At the beginning of the end step, exile this permanent.""",Franz Vohwinkel,Double Masters,2.31,2.31,https://c1.scryfall.com/file/scryfall-cards/png/front/8/6/86956f26-3761-4841-a9b5-f8205bf01f19.png?1599706466,-
Imperial Recruiter,{2}{R},Creature — Human Advisor,1/1,"When Imperial Recruiter enters the battlefield, search your library for a creature card with power 2 or less, reveal it, put it into your hand, then shuffle.",Zack Stella,Double Masters,7.27,7.27,https://c1.scryfall.com/file/scryfall-cards/png/front/d/9/d915eebf-1617-4339-b8b0-72b313c6dab2.png?1599706486,-
Ion Storm,{2}{R},Enchantment,-,"{1}{R}, Remove a +1/+1 counter or a charge counter from a permanent you control: Ion Storm deals 2 damage to any target.",Michael Sutfin,Double Masters,0.13,0.13,https://c1.scryfall.com/file/scryfall-cards/png/front/3/f/3f02fc34-a2f6-456a-a8e5-da5a7327f954.png?1599706499,-
Kazuul's Toll Collector,{2}{R},Creature — Ogre Warrior,3/2,{0}: Attach target Equipment you control to Kazuul's Toll Collector. Activate only as a sorcery.,Greg Staples,Double Masters,0.12,0.12,https://c1.scryfall.com/file/scryfall-cards/png/front/7/3/7377e5a7-b479-48cc-8fbb-01af87c62566.png?1599706517,-
Kuldotha Flamefiend,{4}{R}{R},Creature — Elemental,4/4,"When Kuldotha Flamefiend enters the battlefield, you may sacrifice an artifact. If you do, Kuldotha Flamefiend deals 4 damage divided as you choose among any number of targets.",Raymond Swanland,Double Masters,0.09,0.09,https://c1.scryfall.com/file/scryfall-cards/png/front/2/2/226e1d72-4ed0-4db6-ac0a-f4631db986a9.png?1599706527,-
Lightning Axe,{R},Instant,-,"As an additional cost to cast this spell, discard a card or pay {5}. Lightning Axe deals 5 damage to target creature.",Dan Scott,Double Masters,0.14,0.14,https://c1.scryfall.com/file/scryfall-cards/png/front/9/1/91344085-92ef-4212-b59f-848ab57cd3e0.png?1599706537,-
